PROVINCE/TERRITORY,COMMUNITY,ENGLISH_NAME
ON,Meaford,Grey Bruce Health Services - Meaford
ON,Parry Sound,West Parry Sound Health Centre
ON,Toronto,University Health Network - Princess Margaret
ON,Dryden,Dryden Regional Health Centre
ON,Newbury,Four Counties Health Services
ON,Manitouwadge,Sante Manitouwadge Health
ON,Thessalon,North Shore Health Network - Thessalon
ON,Cornwall,Cornwall Community Hospital
ON,Arnprior,Arnprior Regional Health
ON,Sturgeon Falls,West Nipissing General Hospital
ON,Chesley,South Bruce Grey Health Centre - Chesley
ON,Kingston,Providence Care Hospital
ON,Penetanguishene,Georgian Bay General Hospital - Penetanguishene
ON,Toronto,West Park  Healthcare Centre
ON,Orillia,Orillia Soldiers' Memorial Hospital
ON,North York,Don Mills Surgical Unit
ON,Almonte,Almonte General Hospital
ON,Burlington,Joseph Brant Hospital
ON,Thunder Bay,St. Joseph's Care Group
ON,Woodstock,Woodstock General Hospital
ON,London,London Health Sciences Centre - University
ON,Fort Albany,Weeneebayko Area Health Authority - Fort Albany
ON,Kitchener,Grand River Hospital - Kitchener-Waterloo
ON,Goderich,Alexandra Marine and General Hospital
ON,Toronto,University Health Network - Bickle Centre
ON,Toronto,University Health Network - Hillcrest
ON,St. Catharines,Hotel Dieu Shaver Health and Rehabilitation Centre (Religions Hospital of St. Joseph)
ON,Guelph,Homewood Health Centre
ON,Fort Erie,Niagara Health System - Douglas Memorial
ON,Campbellford,Campbellford Memorial Hospital
ON,Toronto,Sunnybrook Health Sciences Centre - Bayview Campus
ON,Wiarton,Grey Bruce Health Services - Wiarton
ON,St. Thomas,St Thomas-Elgin General Hospital
ON,Kitchener,St. Mary's General Hospital
ON,Ottawa,The Ottawa Hospital - General Campus
ON,Woodstock,Woodstock Private Hospital
ON,Englehart,Englehart and District Hospital
ON,Nipigon,Nipigon District Memorial Hospital
ON,Toronto,Providence St. Joseph's and St. Michael's Healthcare - St. Michael's
ON,North Renfrew,Renfrew Victoria Hospital
ON,Chapleau,Chapleau Health Services
ON,Belleville,Quinte Healthcare - Belleville
ON,Peterborough,Peterborough Regional Health Centre
ON,Little Current,Manitoulin Health Centre - Little Current
ON,Strathroy,Strathroy Middlesex General Hospital
ON,Hanover,Hanover and District Hospital
ON,Alexandria,Glengarry Memorial Hospital
ON,Ottawa,Queensway-Carleton Hospital
ON,Brockville,Brockville General Hospital
ON,Clinton,Clinton Public Hospital
